OV Gen HC (kW),OL Gen HC (kW),UV Load HC (kW),OL Load HC (kW)
3700,10900,7700,6700
3800,11000,7500,6600
3700,10900,7700,6700
3700,10900,7700,6700
4000,11100,7300,6500
4600,11500,6800,6100
4900,11700,6500,5900
5900,12300,5600,5200
6400,12600,5100,4900
8100,13700,3500,3700
8600,14000,3100,3400
8900,14200,2800,3200
8900,14200,2800,3200
8900,14200,2800,3200
8900,14200,2800,3200
9000,14200,2700,3200
9100,14300,2600,3100
8700,14000,3000,3400
8500,13900,3100,3500
8400,13800,3300,3600
7400,13200,4200,4300
6700,12800,4900,4700
5400,12000,6000,5600
5000,11700,6500,5900
